"","Binomial","Blue vane","Bowls","Emergence","NT","Plot","Target"
"76","Halictus ligatus",41,349,2,272,58,161
"77","Halictus parallelus",100,225,0,10,1,4
"78","Halictus rubicundus",50,45,0,25,3,3
"79","Halictus sp.",0,1,0,1,0,0
"80","Heriades carinatus",0,0,0,0,0,2
"81","Holcopasites calliopsidis",0,0,0,0,7,1
"82","Hoplitis pilosifrons",17,29,0,18,0,4
"83","Hylaeus affinis",2,4,0,47,0,22
"84","Hylaeus lectocephalus",0,0,0,2,0,0
"85","Hylaeus mesillae",0,3,0,55,0,44
"86","Hylaeus sp.",6,22,0,72,2,51
"87","Lasioglossum (Dialictus) anomalum",0,1,0,0,0,0
"88","Lasioglossum (Dialictus) sp.",1160,3978,30,762,90,148
"89","Lasioglossum acuminatum",3,33,0,0,0,0
"90","Lasioglossum athabascense",2,3,0,1,1,0
"91","Lasioglossum cinctipes",7,0,0,0,0,0
"92","Lasioglossum coriaceum",22,121,0,5,0,0
"93","Lasioglossum fedorense",0,1,0,0,0,0
"94","Lasioglossum forbesii",4,12,0,0,0,0
"95","Lasioglossum foxii",0,0,0,0,0,1
"96","Lasioglossum fuscipenne",1,10,0,2,0,0
"97","Lasioglossum leucozonium",13,21,0,2,0,0
"98","Lasioglossum nelumbonis",1,1,0,2,0,0
"99","Lasioglossum paraforbesii",7,15,0,1,0,0
"100","Lasioglossum pectorale",13,11,2,7,0,7
"101","Lasioglossum sp.",33,82,2,28,0,0
"102","Lasioglossum truncatum",0,0,7,0,0,0
"103","Lasioglossum zonulum",8,16,0,0,0,0
"104","Megachile brevis",1,12,0,33,2,21
"105","Megachile campanulae",0,1,0,0,0,0
"106","Megachile centuncularis",1,0,0,0,0,0
"107","Megachile frigida",0,0,0,0,0,3
"108","Megachile inimica",0,0,0,0,1,2
"109","Megachile latimanus",1,3,0,20,1,15
"110","Megachile mendica",0,0,0,7,0,3
"111","Megachile montivaga",0,4,0,0,0,3
"112","Megachile petulans",0,0,0,0,0,2
"113","Megachile pugnata",0,0,0,1,0,1
"114","Megachile relativa",1,5,0,0,0,2
"115","Megachile rotundata",0,1,0,0,0,0
"116","Melissodes agilis",21,8,0,1,0,3
"117","Melissodes bidentis",1,2,0,0,0,0
"118","Melissodes bimaculata",295,385,4,5,1,13
"119","Melissodes boltoniae",0,1,0,2,0,6
"120","Melissodes communis",25,12,0,4,0,4
"121","Melissodes comptoides",24,20,0,2,0,2
"122","Melissodes coreopsis",2,5,0,5,0,0
"123","Melissodes denticulatus",1,1,0,1,0,0
"124","Melissodes desponsus",19,21,0,15,1,5
"125","Melissodes druriellus",2,2,0,7,2,3
"126","Melissodes fumosus",0,0,0,1,0,0
"127","Melissodes nivea",3,0,0,0,0,0
"128","Melissodes sp.",0,1,0,0,0,1
"129","Melissodes subillatus",0,1,0,1,0,0
"130","Melissodes trinodis",104,77,1,49,0,36
"131","Melissodes vernoniae",1,0,0,0,0,0
"132","Melissodes wheeleri",0,1,0,0,0,0
"133","Nomada articulata",0,3,0,18,2,8
"134","Nomada denticulata",0,1,0,2,0,0
"135","Nomada depressa",0,1,0,6,0,1
"136","Nomada erigeronis",0,0,0,1,0,4
"137","Nomada graenicheri",0,1,0,0,0,0
"138","Nomada illinoensis",0,0,0,1,0,1
"139","Nomada imbricata",0,0,0,1,0,0
"140","Nomada integerrima",0,0,0,0,0,1
"141","Nomada parva",1,0,0,5,0,4
"142","Nomada sayi",0,0,0,0,0,1
"143","Nomada superba",1,1,0,0,0,1
"144","Nomada vincta",0,0,0,1,0,0
"145","Nomia universitatis",0,1,0,7,2,0
"146","Osmia bucephala",1,0,0,0,0,0
"147","Osmia collinsiae",1,0,0,0,0,0
"148","Osmia cornifrons",1,0,0,0,0,0
"149","Osmia illinoensis",0,1,0,0,0,0
"150","Osmia inermis",3,1,0,0,0,1
"151","Osmia pumila",1,0,0,1,0,0
"152","Peponapis pruinosa",4,0,0,0,0,0
"153","Perdita sp.",2,1,0,1,0,0
"154","Perdita swenki",0,1,0,0,0,0
"155","Protandrena bancrofti",1,1,0,2,0,0
"156","Pseudopanurgus aestivalis",0,0,0,3,0,0
"157","Pseudopanurgus albitarsis",0,0,0,23,0,10
"158","Pseudopanurgus solidaginis",0,0,0,4,0,0
"159","Sphecodes clematidis",0,0,0,1,5,1
"160","Sphecodes cressonii",0,0,0,0,0,1
"161","Sphecodes illinoensis",0,0,0,0,0,1
"162","Sphecodes sp.",0,3,0,4,4,1
"163","Stelis lateralis",0,0,0,1,0,4
"164","Svastra obliqua",4,2,0,5,1,9
"165","Triepeolus concavus",0,0,0,1,0,0
"166","Triepeolus donatus",0,1,0,3,0,1
"167","Triepeolus helianthi",0,0,0,0,0,1
"168","Triepeolus lunatus",0,2,0,7,0,2
"169","Triepeolus simplex",0,1,0,0,0,0
"170","Xeromelecta interrupta",0,1,0,0,0,0
"171","Xylocopa virginica",1,1,0,1,0,0
