"","Binomial","Blue vane","Bowls","Emergence","NT","Pitfall"
"67","Halictus ligatus",18,119,2,130,NA
"68","Halictus parallelus",41,121,NA,5,NA
"69","Halictus rubicundus",32,14,NA,25,NA
"70","Halictus sp.",NA,NA,NA,2,NA
"71","Halictus virgatellus",NA,NA,NA,1,NA
"72","Hoplitis pilosifrons",11,11,NA,8,NA
"73","Hylaeus affinis",2,2,NA,21,NA
"74","Hylaeus lectocephalus",NA,NA,NA,2,NA
"75","Hylaeus mesillae",NA,3,NA,24,NA
"76","Hylaeus nelumbonis",NA,NA,NA,1,NA
"77","Hylaeus sp.",2,12,NA,39,NA
"78","Lasioglossum (Dialictus) sp.",440,1842,29,529,2
"79","Lasioglossum (Evylaeus) fedorense",NA,1,NA,NA,NA
"80","Lasioglossum (Evylaeus) nelumbonis",NA,NA,NA,1,NA
"81","Lasioglossum (Evylaeus) quebecense",1,NA,NA,NA,NA
"82","Lasioglossum (Evylaeus) sp.",1,3,NA,4,NA
"83","Lasioglossum (Hemihalictus) pectorale",8,6,2,5,NA
"84","Lasioglossum (Leuchalictus) leucozonium",4,3,NA,1,NA
"85","Lasioglossum (Leuchalictus) zonulum",7,15,NA,NA,NA
"86","Lasioglossum (Sphecodogastrum) truncatum",NA,NA,7,NA,5
"87","Lasioglossum s.s. acuminatum",3,33,NA,NA,NA
"88","Lasioglossum s.s. athabascense",3,6,NA,1,NA
"89","Lasioglossum s.s. cinctipes",NA,1,NA,NA,NA
"90","Lasioglossum s.s. coriaceum",11,55,NA,5,NA
"91","Lasioglossum s.s. forbesii",1,9,NA,NA,NA
"92","Lasioglossum s.s. fuscipenne",NA,10,NA,NA,NA
"93","Lasioglossum s.s. paraforbesii",6,9,NA,1,NA
"94","Lasioglossum s.s. sp.",5,8,NA,1,NA
"95","Lasioglossum sp.",26,71,2,26,1
"96","Megachile brevis",NA,7,NA,19,NA
"97","Megachile campanulae",NA,1,NA,NA,NA
"98","Megachile centuncularis",1,NA,NA,NA,NA
"99","Megachile concinna",NA,NA,NA,2,NA
"100","Megachile latimanus",NA,3,NA,17,NA
"101","Megachile mendica",NA,NA,NA,1,NA
"102","Megachile montivaga",NA,1,NA,NA,NA
"103","Megachile pugnata",NA,NA,NA,1,NA
"104","Megachile relativa",1,NA,NA,NA,NA
"105","Megachile rotundata",NA,1,NA,1,NA
"106","Melissodes agilis",16,5,NA,1,NA
"107","Melissodes apicata",1,NA,NA,NA,NA
"108","Melissodes bidentis",1,3,NA,NA,NA
"109","Melissodes bimaculata",179,226,4,2,2
"110","Melissodes communis",8,2,NA,NA,NA
"111","Melissodes comptoides",23,12,NA,2,NA
"112","Melissodes coreopsis",1,3,NA,4,NA
"113","Melissodes denticulatus",NA,1,NA,2,NA
"114","Melissodes dentiventris",NA,NA,NA,3,NA
"115","Melissodes desponsa",13,9,NA,5,NA
"116","Melissodes desponsus",3,4,NA,5,NA
"117","Melissodes druriella",1,NA,NA,3,NA
"118","Melissodes druriellus",1,1,NA,2,NA
"119","Melissodes nivea",3,NA,NA,NA,NA
"120","Melissodes sp.",NA,NA,NA,1,NA
"121","Melissodes subillata",NA,NA,NA,1,NA
"122","Melissodes trinodis",59,41,1,18,NA
"123","Melissodes vernoniae",1,NA,NA,NA,NA
"124","Melissodes wheeleri",NA,1,NA,NA,NA
"125","Nomada articulata",NA,2,NA,8,NA
"126","Nomada denticulata",NA,NA,NA,4,NA
"127","Nomada depressa",NA,1,NA,4,NA
"128","Nomada illinoensis",NA,NA,NA,1,NA
"129","Nomada imbricata",NA,NA,NA,1,NA
"130","Nomada parva",NA,NA,NA,3,NA
"131","Nomada sp.",NA,1,NA,3,NA
"132","Nomada superba",1,NA,NA,NA,NA
"133","Nomia sp.",NA,1,NA,NA,NA
"134","Nomia universitatis",NA,NA,NA,6,NA
"135","Osmia bucephala",1,NA,NA,NA,NA
"136","Osmia collinsiae",1,NA,NA,NA,NA
"137","Osmia inermis",1,NA,NA,NA,NA
"138","Osmia pumila",1,NA,NA,NA,NA
"139","Osmia sp.",NA,1,NA,NA,NA
"140","Peponapis pruinosa",2,NA,NA,NA,NA
"141","Perdita sp.",2,1,NA,2,NA
"142","Pseudopanurgus albitarsis",NA,NA,NA,4,NA
"143","Pseudopanurgus solidaginis",NA,NA,NA,4,NA
"144","Sphecodes sp.",NA,3,NA,4,NA
"145","Svastra obliqua",1,1,NA,1,NA
"146","Triepeolus concavus",NA,NA,NA,1,NA
"147","Triepeolus distinctus",NA,NA,1,1,NA
"148","Triepeolus donatus",NA,1,NA,1,NA
"149","Triepeolus lunatus",NA,2,NA,6,NA
"150","Triepeolus nigrihirtus",NA,NA,NA,1,NA
"151","Triepeolus simplex",NA,1,NA,NA,NA
"152","Triepeolus sp.",NA,1,NA,NA,NA
"153","Xylocopa virginica",NA,1,NA,NA,NA
