"","Site","Date","Blue vane","Bowls","Emergence","NT","Pitfall","Plot"
"58","Kaldenberg",2014-05-23,5,8,NA,2,NA,NA
"59","Kaldenberg",2014-06-20,10,10,NA,NA,NA,NA
"60","Kaldenberg",2014-07-18,6,10,NA,4,NA,NA
"61","Kaldenberg",2014-08-17,7,7,NA,2,NA,NA
"62","Kaldenberg",2015-04-29,4,6,NA,NA,NA,NA
"63","Kaldenberg",2015-05-27,3,8,NA,NA,NA,NA
"64","Kaldenberg",2015-06-19,5,6,NA,NA,NA,NA
"65","Kaldenberg",2015-07-21,6,6,NA,6,NA,NA
"66","Kaldenberg",2015-08-14,3,6,NA,4,NA,NA
"67","Kaldenberg",2016-05-04,3,1,NA,1,NA,NA
"68","Kaldenberg",2016-05-19,4,8,1,3,NA,NA
"69","Kaldenberg",2016-06-16,4,7,NA,4,NA,NA
"70","Kaldenberg",2016-07-21,6,10,1,7,NA,NA
"71","Kaldenberg",2016-08-16,4,6,NA,7,NA,NA
"72","Kaldenberg",2017-05-07,5,5,NA,3,NA,1
"73","Kaldenberg",2017-05-25,4,12,NA,NA,NA,2
"74","Kaldenberg",2017-06-18,4,5,NA,2,NA,5
"75","Kaldenberg",2017-07-17,4,6,NA,8,NA,6
"76","Kaldenberg",2017-08-18,3,5,NA,5,NA,2
"77","McClellan",2014-06-06,5,6,NA,NA,NA,NA
"78","McClellan",2014-07-01,5,6,NA,2,NA,NA
"79","McClellan",2014-07-28,3,3,NA,NA,NA,NA
"80","McClellan",2014-08-31,4,8,NA,1,NA,NA
"81","McClellan",2015-05-12,1,1,NA,NA,NA,NA
"82","McClellan",2015-06-01,3,6,NA,NA,NA,NA
"83","McClellan",2015-06-30,2,6,NA,3,NA,NA
"84","McClellan",2015-07-30,3,9,NA,3,NA,NA
"85","McClellan",2015-08-25,6,8,NA,2,NA,NA
"86","McClellan",2016-05-19,4,8,NA,NA,NA,NA
"87","McClellan",2016-06-16,3,5,2,2,NA,NA
"88","McClellan",2016-07-22,6,5,1,3,NA,NA
"89","McClellan",2016-08-16,4,5,NA,NA,NA,NA
"90","McClellan",2017-05-06,4,5,NA,1,NA,NA
"91","McClellan",2017-05-25,6,5,NA,2,NA,NA
"92","McClellan",2017-06-19,5,9,NA,2,NA,NA
"93","McClellan",2017-07-18,7,4,NA,3,NA,1
"94","McClellan",2017-08-18,8,7,1,1,NA,3
"95","NealSmith",2014-05-23,9,9,NA,4,NA,NA
"96","NealSmith",2014-06-09,4,13,NA,11,NA,NA
"97","NealSmith",2014-06-20,7,NA,NA,11,NA,NA
"98","NealSmith",2014-07-18,5,6,NA,15,NA,NA
"99","NealSmith",2014-08-17,5,11,1,13,NA,NA
"100","NealSmith",2015-04-29,5,10,NA,7,NA,NA
"101","NealSmith",2015-05-27,4,7,NA,8,NA,NA
"102","NealSmith",2015-06-10,NA,NA,1,NA,NA,NA
"103","NealSmith",2015-06-19,4,8,NA,3,NA,NA
"104","NealSmith",2015-07-21,3,5,NA,7,NA,NA
"105","NealSmith",2015-08-14,6,5,NA,6,NA,NA
"106","Peckumn",2015-05-12,5,8,NA,2,NA,NA
"107","Peckumn",2015-06-01,3,6,NA,4,NA,NA
"108","Peckumn",2015-07-07,5,5,NA,5,NA,NA
"109","Peckumn",2015-07-31,5,6,NA,5,NA,NA
"110","Peckumn",2015-08-11,NA,NA,1,NA,NA,NA
"111","Peckumn",2015-08-31,NA,NA,1,NA,NA,NA
"112","Peckumn",2015-09-01,2,5,NA,3,NA,NA
"113","Peckumn",2016-05-15,6,8,NA,8,NA,NA
"114","Peckumn",2016-05-29,8,13,NA,12,NA,NA
"115","Peckumn",2016-06-23,7,12,NA,6,NA,NA
"116","Peckumn",2016-07-27,8,5,1,8,NA,NA
"117","Peckumn",2016-08-31,2,6,NA,10,NA,NA
"118","Peckumn",2017-05-14,5,9,NA,4,NA,1
"119","Peckumn",2017-05-31,7,12,1,7,NA,3
"120","Peckumn",2017-06-27,11,12,NA,4,NA,6
"121","Peckumn",2017-07-27,9,9,NA,21,NA,2
"122","Peckumn",2017-08-29,2,6,NA,3,NA,NA
"123","Plunkett",2014-05-20,3,8,NA,NA,NA,NA
"124","Plunkett",2014-06-16,3,8,NA,NA,NA,NA
"125","Plunkett",2014-07-16,4,4,NA,3,NA,NA
"126","Plunkett",2014-08-01,NA,NA,NA,NA,1,NA
"127","Plunkett",2014-08-14,6,2,NA,8,1,NA
"128","Plunkett",2015-04-30,3,1,NA,1,NA,NA
"129","Plunkett",2015-05-21,2,5,NA,NA,NA,NA
"130","Plunkett",2015-06-10,NA,NA,NA,NA,1,NA
"131","Plunkett",2015-06-16,4,8,NA,9,NA,NA
"132","Plunkett",2015-07-17,1,1,2,5,NA,NA
"133","Plunkett",2015-08-13,3,5,NA,6,NA,NA
"134","Plunkett",2016-05-03,3,2,NA,2,NA,NA
"135","Plunkett",2016-05-18,4,6,1,3,NA,NA
"136","Plunkett",2016-06-15,2,4,NA,2,NA,NA
"137","Plunkett",2016-07-20,5,7,2,12,NA,NA
"138","Plunkett",2016-08-14,12,9,2,31,NA,NA
"139","Plunkett",2017-05-02,1,1,NA,NA,NA,NA
"140","Plunkett",2017-05-15,5,7,NA,2,NA,NA
"141","Plunkett",2017-06-15,7,7,NA,11,NA,1
"142","Plunkett",2017-07-15,11,5,NA,7,NA,1
"143","Plunkett",2017-08-12,5,6,NA,17,NA,5
"144","Sheller",2014-05-29,3,7,NA,2,NA,NA
"145","Sheller",2014-06-25,3,4,NA,1,NA,NA
"146","Sheller",2014-07-21,5,6,NA,3,NA,NA
"147","Sheller",2014-08-24,9,6,NA,2,NA,NA
"148","Sheller",2015-05-09,1,5,NA,NA,NA,NA
"149","Sheller",2015-05-31,4,4,NA,NA,NA,NA
"150","Sheller",2015-06-23,1,4,NA,1,NA,NA
"151","Sheller",2015-07-30,2,8,NA,3,NA,NA
"152","Sheller",2015-08-26,1,2,NA,3,NA,NA
"153","Sheller",2016-05-19,1,NA,NA,NA,NA,NA
"154","Sheller",2016-05-22,1,6,1,2,NA,NA
"155","Sheller",2016-06-21,3,5,NA,2,NA,NA
"156","Sheller",2016-07-26,8,5,2,5,NA,NA
"157","Sheller",2016-08-18,5,4,4,5,NA,NA
"158","Sheller",2017-05-13,2,7,NA,1,NA,1
"159","Sheller",2017-05-29,2,1,NA,1,NA,NA
"160","Sheller",2017-06-23,3,3,NA,2,NA,NA
"161","Sheller",2017-07-24,4,4,NA,1,NA,NA
"162","Sheller",2017-08-19,3,3,NA,NA,NA,NA
"163","Sloan",2014-05-30,5,9,NA,NA,NA,NA
"164","Sloan",2014-06-24,7,NA,NA,NA,NA,NA
"165","Sloan",2014-07-24,5,4,NA,5,NA,NA
"166","Sloan",2014-08-20,2,3,NA,NA,NA,NA
"167","Sloan",2015-05-02,2,2,NA,3,NA,NA
"168","Sloan",2015-05-27,5,10,NA,1,NA,NA
"169","Sloan",2015-06-21,2,4,NA,1,NA,NA
"170","Sloan",2015-07-23,4,5,NA,6,1,NA
"171","Sloan",2015-08-15,2,5,NA,2,NA,NA
"172","Sloan",2016-05-12,1,2,NA,1,NA,NA
"173","Sloan",2016-05-22,4,9,NA,2,NA,NA
"174","Sloan",2016-06-17,3,6,NA,1,NA,NA
"175","Sloan",2016-07-25,7,10,2,4,NA,NA
"176","Sloan",2016-08-17,4,7,NA,5,NA,NA
"177","Sloan",2017-05-12,1,3,NA,3,NA,NA
"178","Sloan",2017-05-28,7,14,NA,7,NA,NA
"179","Sloan",2017-06-20,5,8,NA,1,NA,2
"180","Sloan",2017-07-23,5,3,NA,2,NA,NA
"181","Sloan",2017-08-19,2,7,1,5,NA,NA
