,Ashy sunflower,Bee balm,Birdsfoot trefoil,Black-eyed Susan,Black medic,Bull thistle,Canada goldenrod,Canada thistle,Carolina horsenettle,Cleavers,Common milkweed,Compass plant,Cup plant,Curly dock,Daisy fleabane,Dandelion,Deptford pink,Dodder,Dogbane,Field bindweed,Field pennycress,Golden Alexander,Gray-headed coneflower,Ground cherry,Hoary vervain,Japanese honeysuckle,Marestail,Oxeye sunflower,Partridge pea,Prickly lettuce,Purple coneflower,Purple prairie clover,Queen Anne's lace,Rattlesnake master,Red clover,Sawtooth sunflower,Stiff goldenrod,Velvet leaf,White campion,White clover,White sweet clover,White vervain,Whorled milkweed,Wild parsnip,Yarrow,Yellow sweet clover
Plunkett 2016-08-14,,,13%,,,4%,39%,,0%,,,,,,0%,0%,,,,20%,,,,,,,,,,,,,5%,,18%,,,,,,,,,,,
Plunkett 2017-05-02,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plunkett 2017-05-15,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plunkett 2017-06-15,,,19%,,,,,,,,1%,,,,,,,,1%,28%,,,,,,,,,,,,,,,3%,,,,,4%,,,,43%,,
Plunkett 2017-07-15,,7%,30%,,,,,,,,2%,,,,,,,,,19%,,,,,,,,,,,,,31%,,11%,,,,,,,,,,,
Plunkett 2017-08-12,,,13%,,,2%,31%,3%,2%,,,,,,0%,,,,,11%,,,,,,,,,,,,,30%,,8%,,,,,,,,,,,
Sheller 2016-05-12,,,,,,,,,,6%,,,,,,94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheller 2016-05-22,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheller 2016-06-21,,,,,,,,,,,42%,,,,,42%,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheller 2016-07-26,,,,,,,,,,,21%,,,,,,,,,25%,,,,55%,,,,,,,,,,,,,,,,,,,,,,
Sheller 2016-08-18,,,,,,,,,,,21%,,,,,9%,,,,20%,,,,50%,,,,,,,,,,,,,,,,,,,,,,
Sheller 2017-05-13,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheller 2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,
Sheller 2017-06-23,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheller 2017-07-24,,,,,,,,,,,60%,,,,,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheller 2017-08-19,,,,,,,,,,,,,,,,30%,,,,70%,,,,,,,,,,,,,,,,,,,,,,,,,,
Sloan 2016-05-12,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sloan 2016-05-22,,,,,,,,,,,,,,,,81%,,,,,,19%,,,,,,,,,,,,,,,,,,,,,,,,
Sloan 2016-06-17,,,,42%,,,,,,,,,,,,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sloan 2016-07-25,,,,11%,,,,19%,,,,,,,,,,,,,,,6%,,34%,,,,,,,6%,,,,,,25%,,,,,,,,
Sloan 2016-08-17,,,,8%,,,14%,,,,,,,,,13%,,,,,,,10%,,11%,,,3%,,,,,,3%,,,39%,,,,,,,,,
Sloan 2017-05-12,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sloan 2017-05-28,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sloan 2017-06-20,,,,,,,,10%,,,,,,,,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sloan 2017-07-23,,6%,,3%,,,,39%,,,,,,,3%,9%,,,,,,,36%,,3%,,,,,,,,,,,,,,,,,,,,,
Sloan 2017-08-19,,,,,,,7%,,,,,,,,,5%,,,,,,,,,,,,,,,,,,,,,88%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,14%,7%,31%,15%,4%,3%,30%,28%,28%,6%,25%,6%,5%,22%,3%,62%,15%,13%,1%,38%,14%,13%,21%,23%,10%,100%,100%,7%,2%,1%,14%,4%,28%,2%,16%,21%,31%,25%,6%,22%,3%,1%,2%,24%,3%,1%
Count,1,6,7,13,1,5,10,19,11,2,11,1,4,1,11,36,1,2,2,18,1,2,17,6,5,1,1,4,1,2,1,3,14,2,11,4,5,1,2,8,1,2,1,3,2,1
