"","Site","Date","Blue vane","Bowls","Emergence","NT","Pitfall","Plot"
"89","McClellan",2016-08-16,10,12,NA,NA,NA,NA
"90","McClellan",2017-05-06,4,21,NA,1,NA,NA
"91","McClellan",2017-05-25,32,86,NA,5,NA,NA
"92","McClellan",2017-06-19,42,140,NA,2,NA,NA
"93","McClellan",2017-07-18,41,137,NA,14,NA,1
"94","McClellan",2017-08-18,23,18,1,1,NA,7
"95","NealSmith",2014-05-23,14,93,NA,4,NA,NA
"96","NealSmith",2014-06-09,8,141,NA,14,NA,NA
"97","NealSmith",2014-06-20,20,NA,NA,57,NA,NA
"98","NealSmith",2014-07-18,10,25,NA,39,NA,NA
"99","NealSmith",2014-08-17,19,45,1,31,NA,NA
"100","NealSmith",2015-04-29,25,87,NA,18,NA,NA
"101","NealSmith",2015-05-27,4,34,NA,9,NA,NA
"102","NealSmith",2015-06-10,NA,NA,1,NA,NA,NA
"103","NealSmith",2015-06-19,11,32,NA,3,NA,NA
"104","NealSmith",2015-07-21,6,33,NA,15,NA,NA
"105","NealSmith",2015-08-14,7,13,NA,52,NA,NA
"106","Peckumn",2015-05-12,10,23,NA,6,NA,NA
"107","Peckumn",2015-06-01,14,39,NA,4,NA,NA
"108","Peckumn",2015-07-07,5,10,NA,5,NA,NA
"109","Peckumn",2015-07-31,16,34,NA,13,NA,NA
"110","Peckumn",2015-08-11,NA,NA,1,NA,NA,NA
"111","Peckumn",2015-08-31,NA,NA,4,NA,NA,NA
"112","Peckumn",2015-09-01,2,6,NA,3,NA,NA
"113","Peckumn",2016-05-15,21,49,NA,13,NA,NA
"114","Peckumn",2016-05-29,19,89,NA,21,NA,NA
"115","Peckumn",2016-06-23,12,47,NA,9,NA,NA
"116","Peckumn",2016-07-27,11,43,1,24,NA,NA
"117","Peckumn",2016-08-31,6,11,NA,23,NA,NA
"118","Peckumn",2017-05-14,16,56,NA,5,NA,1
"119","Peckumn",2017-05-31,28,72,1,25,NA,4
"120","Peckumn",2017-06-27,47,48,NA,8,NA,11
"121","Peckumn",2017-07-27,33,40,NA,77,NA,4
"122","Peckumn",2017-08-29,6,7,NA,5,NA,NA
"123","Plunkett",2014-05-20,4,69,NA,NA,NA,NA
"124","Plunkett",2014-06-16,5,56,NA,NA,NA,NA
"125","Plunkett",2014-07-16,9,12,NA,3,NA,NA
"126","Plunkett",2014-08-01,NA,NA,NA,NA,1,NA
"127","Plunkett",2014-08-14,16,7,NA,12,1,NA
"128","Plunkett",2015-04-30,3,1,NA,1,NA,NA
"129","Plunkett",2015-05-21,7,15,NA,NA,NA,NA
"130","Plunkett",2015-06-10,NA,NA,NA,NA,1,NA
"131","Plunkett",2015-06-16,14,34,NA,18,NA,NA
"132","Plunkett",2015-07-17,1,7,3,18,NA,NA
"133","Plunkett",2015-08-13,4,20,NA,35,NA,NA
"134","Plunkett",2016-05-03,4,4,NA,3,NA,NA
"135","Plunkett",2016-05-18,5,28,1,5,NA,NA
"136","Plunkett",2016-06-15,9,30,NA,3,NA,NA
"137","Plunkett",2016-07-20,34,149,2,87,NA,NA
"138","Plunkett",2016-08-14,21,33,7,379,NA,NA
"139","Plunkett",2017-05-02,1,1,NA,NA,NA,NA
"140","Plunkett",2017-05-15,34,128,NA,2,NA,NA
"141","Plunkett",2017-06-15,59,76,NA,22,NA,2
"142","Plunkett",2017-07-15,41,68,NA,21,NA,2
"143","Plunkett",2017-08-12,9,14,NA,67,NA,9
"144","Sheller",2014-05-29,12,97,NA,5,NA,NA
"145","Sheller",2014-06-25,4,10,NA,2,NA,NA
"146","Sheller",2014-07-21,5,14,NA,3,NA,NA
"147","Sheller",2014-08-24,18,27,NA,3,NA,NA
"148","Sheller",2015-05-09,1,21,NA,NA,NA,NA
"149","Sheller",2015-05-31,4,20,NA,NA,NA,NA
"150","Sheller",2015-06-23,1,18,NA,1,NA,NA
"151","Sheller",2015-07-30,6,27,NA,4,NA,NA
"152","Sheller",2015-08-26,1,5,NA,10,NA,NA
"153","Sheller",2016-05-19,1,NA,NA,NA,NA,NA
"154","Sheller",2016-05-22,3,32,3,4,NA,NA
"155","Sheller",2016-06-21,8,21,NA,7,NA,NA
"156","Sheller",2016-07-26,12,22,2,21,NA,NA
"157","Sheller",2016-08-18,11,11,10,32,NA,NA
"158","Sheller",2017-05-13,16,60,NA,8,NA,2
"159","Sheller",2017-05-29,3,5,NA,1,NA,NA
"160","Sheller",2017-06-23,9,13,NA,3,NA,NA
"161","Sheller",2017-07-24,10,9,NA,1,NA,NA
"162","Sheller",2017-08-19,3,7,NA,NA,NA,NA
"163","Sloan",2014-05-30,15,34,NA,NA,NA,NA
"164","Sloan",2014-06-24,21,NA,NA,NA,NA,NA
"165","Sloan",2014-07-24,8,19,NA,10,NA,NA
"166","Sloan",2014-08-20,13,14,NA,NA,NA,NA
"167","Sloan",2015-05-02,4,6,NA,3,NA,NA
"168","Sloan",2015-05-27,16,121,NA,2,NA,NA
"169","Sloan",2015-06-21,5,11,NA,1,NA,NA
"170","Sloan",2015-07-23,5,10,NA,9,1,NA
"171","Sloan",2015-08-15,16,20,NA,2,NA,NA
"172","Sloan",2016-05-12,1,2,NA,1,NA,NA
"173","Sloan",2016-05-22,12,109,NA,2,NA,NA
"174","Sloan",2016-06-17,4,25,NA,1,NA,NA
"175","Sloan",2016-07-25,37,55,2,28,NA,NA
"176","Sloan",2016-08-17,4,8,NA,8,NA,NA
"177","Sloan",2017-05-12,5,14,NA,4,NA,NA
"178","Sloan",2017-05-28,28,112,NA,8,NA,NA
"179","Sloan",2017-06-20,10,22,NA,1,NA,3
"180","Sloan",2017-07-23,19,9,NA,5,NA,NA
"181","Sloan",2017-08-19,4,10,1,6,NA,NA
