"","Flower","Bee.ID","n.x","n.y"
"147","Zizia aurea","Andrena commoda",1,1
"148","Zizia aurea","Andrena sp.",6,5
"149","Zizia aurea","Andrena ziziae",56,5
"150","Zizia aurea","Augochlorella aurata",8,5
"151","Zizia aurea","Ceratina dupla",5,2
"152","Zizia aurea","Ceratina sp.",1,NA
"153","Zizia aurea","Halictus confusus",3,1
"154","Zizia aurea","Halictus ligatus",2,3
"155","Zizia aurea","Hoplitis pilosifrons",1,1
"156","Zizia aurea","Hylaeus affinis",7,2
"157","Zizia aurea","Hylaeus mesillae",15,4
"158","Zizia aurea","Hylaeus sp.",21,4
"159","Zizia aurea","Lasioglossum (Dialictus) sp.",19,5
"160","Zizia aurea","Lasioglossum pectorale",1,NA
"161","Zizia aurea","Nomada parva",3,2
"162","Asclepias syriaca","Agapostemon texanus",NA,1
"163","Asclepias syriaca","Agapostemon virescens",NA,3
"164","Daucus carota","Agapostemon virescens",NA,2
"165","Pastinaca sativa","Agapostemon virescens",NA,1
"166","Trifolium pratense","Agapostemon virescens",NA,1
"167","Apocynum cannabinum","Andrena alleghaniensis",NA,1
"168","Asclepias syriaca","Andrena alleghaniensis",NA,1
"169","Pastinaca sativa","Andrena alleghaniensis",NA,1
"170","Thlaspi arvense","Andrena alleghaniensis",NA,1
"171","Asclepias syriaca","Andrena asteris",NA,1
"172","Daucus carota","Andrena asteris",NA,1
"173","Asclepias syriaca","Andrena barbara",NA,1
"174","Hemerocallis fulva","Andrena barbara",NA,1
"175","Thlaspi arvense","Andrena barbara",NA,1
"176","Trifolium pratense","Andrena barbara",NA,1
"177","Asclepias syriaca","Andrena commoda",NA,1
"178","Convolvulus arvensis","Andrena commoda",NA,1
"179","Trifolium pratense","Andrena commoda",NA,1
"180","Trifolium repens","Andrena commoda",NA,1
"181","Asclepias syriaca","Andrena nubecula",NA,1
"182","Daucus carota","Andrena nubecula",NA,1
"183","Asclepias syriaca","Andrena rudbeckiae",NA,11
"184","Cirsium arvense","Andrena rudbeckiae",NA,2
"185","Convolvulus arvensis","Andrena rudbeckiae",NA,1
"186","Dalea purpurea","Andrena rudbeckiae",NA,1
"187","Duchesnea indica","Andrena rudbeckiae",NA,1
"188","Erigeron annuus","Andrena rudbeckiae",NA,3
"189","Eryngium yuccifolium","Andrena rudbeckiae",NA,1
"190","Galium aparine","Andrena rudbeckiae",NA,1
"191","Monarda fistulosa","Andrena rudbeckiae",NA,2
"192","Pastinaca sativa","Andrena rudbeckiae",NA,2
"193","Silphium perfoliatum","Andrena rudbeckiae",NA,1
"194","Solidago rigida","Andrena rudbeckiae",NA,1
"195","Taraxacum officinale","Andrena rudbeckiae",NA,2
"196","Trifolium pratense","Andrena rudbeckiae",NA,4
"197","Trifolium repens","Andrena rudbeckiae",NA,2
"198","Verbena stricta","Andrena rudbeckiae",NA,1
"199","Asclepias syriaca","Andrena sp.",NA,7
"200","Cuscuta gronovii","Andrena sp.",NA,1
"201","Galium aparine","Andrena sp.",NA,1
"202","Ornithogalum umbellatum","Andrena sp.",NA,1
"203","Rudbeckia hirta","Andrena sp.",NA,2
"204","Sinapis arvensis","Andrena sp.",NA,1
"205","Solidago rigida","Andrena sp.",NA,1
"206","Thlaspi arvense","Andrena sp.",NA,1
"207","Trifolium pratense","Andrena sp.",NA,1
"208","Trifolium repens","Andrena sp.",NA,2
"209","Asclepias syriaca","Andrena wilkella",NA,2
"210","Convolvulus arvensis","Andrena wilkella",NA,1
"211","Hemerocallis fulva","Andrena wilkella",NA,1
"212","Medicago lupulina","Andrena wilkella",NA,1
"213","Rudbeckia hirta","Andrena wilkella",NA,1
"214","Trifolium pratense","Andrena wilkella",NA,2
"215","Anemone canadensis","Andrena ziziae",NA,1
"216","Asclepias syriaca","Andrena ziziae",NA,6
"217","Cirsium arvense","Andrena ziziae",NA,2
"218","Erigeron annuus","Andrena ziziae",NA,1
"219","Galium aparine","Andrena ziziae",NA,3
"220","Heliopsis helianthoides","Andrena ziziae",NA,1
"221","Medicago lupulina","Andrena ziziae",NA,2
"222","Oxalis stricta","Andrena ziziae",NA,2
"223","Physalis virginiana","Andrena ziziae",NA,1
"224","Ratibida pinnata","Andrena ziziae",NA,1
"225","Rubus idaeus","Andrena ziziae",NA,1
"226","Rudbeckia hirta","Andrena ziziae",NA,1
"227","Silene latifolia","Andrena ziziae",NA,1
"228","Sinapis arvensis","Andrena ziziae",NA,2
"229","Taraxacum officinale","Andrena ziziae",NA,1
"230","Trifolium pratense","Andrena ziziae",NA,3
"231","Trifolium repens","Andrena ziziae",NA,2
"232","Asclepias syriaca","Apis mellifera",NA,6
"233","Carduus nutans","Apis mellifera",NA,1
"234","Cirsium arvense","Apis mellifera",NA,1
"235","Cirsium vulgare","Apis mellifera",NA,2
"236","Convolvulus arvensis","Apis mellifera",NA,2
"237","Conyza canadensis","Apis mellifera",NA,1
"238","Helianthus grosseserratus","Apis mellifera",NA,1
"239","Pastinaca sativa","Apis mellifera",NA,2
"240","Ratibida pinnata","Apis mellifera",NA,1
"241","Silene latifolia","Apis mellifera",NA,1
"242","Taraxacum officinale","Apis mellifera",NA,1
"243","Trifolium pratense","Apis mellifera",NA,2
"244","Verbascum thapsus","Apis mellifera",NA,1
"245","Abutilon theophrasti","Augochlorella aurata",NA,1
"246","Asclepias syriaca","Augochlorella aurata",NA,22
"247","Carduus nutans","Augochlorella aurata",NA,1
"248","Convolvulus arvensis","Augochlorella aurata",NA,4
"249","Conyza canadensis","Augochlorella aurata",NA,1
"250","Daucus carota","Augochlorella aurata",NA,6
"251","Desmodium canadense","Augochlorella aurata",NA,1
"252","Echinacea purpurea","Augochlorella aurata",NA,1
"253","Erigeron annuus","Augochlorella aurata",NA,5
"254","Galium aparine","Augochlorella aurata",NA,2
"255","Lotus corniculatus","Augochlorella aurata",NA,2
"256","Melilotus officinalis","Augochlorella aurata",NA,1
"257","Ornithogalum umbellatum","Augochlorella aurata",NA,1
"258","Oxalis stricta","Augochlorella aurata",NA,4
"259","Physalis virginiana","Augochlorella aurata",NA,1
"260","Rudbeckia hirta","Augochlorella aurata",NA,1
"261","Saponaria officinalis","Augochlorella aurata",NA,1
"262","Silene latifolia","Augochlorella aurata",NA,2
"263","Trifolium repens","Augochlorella aurata",NA,2
"264","Verbascum thapsus","Augochlorella aurata",NA,1
"265","Vicia villosa","Augochlorella aurata",NA,1
"266","Cirsium arvense","Bombus bimaculatus",NA,2
"267","Convolvulus arvensis","Bombus bimaculatus",NA,4
"268","Erigeron annuus","Bombus bimaculatus",NA,1
"269","Galium aparine","Bombus bimaculatus",NA,4
"270","Hemerocallis fulva","Bombus bimaculatus",NA,1
"271","Lotus corniculatus","Bombus bimaculatus",NA,2
"272","Melilotus officinalis","Bombus bimaculatus",NA,1
"273","Ratibida pinnata","Bombus bimaculatus",NA,1
"274","Rudbeckia hirta","Bombus bimaculatus",NA,1
"275","Solidago canadensis","Bombus bimaculatus",NA,2
"276","Abutilon theophrasti","Bombus griseocollis",NA,1
"277","Asclepias syriaca","Bombus griseocollis",NA,17
"278","Cirsium arvense","Bombus griseocollis",NA,5
"279","Convolvulus arvensis","Bombus griseocollis",NA,7
"280","Erigeron annuus","Bombus griseocollis",NA,5
"281","Eryngium yuccifolium","Bombus griseocollis",NA,1
"282","Galium aparine","Bombus griseocollis",NA,2
"283","Helianthus grosseserratus","Bombus griseocollis",NA,1
"284","Heliopsis helianthoides","Bombus griseocollis",NA,1
"285","Hemerocallis fulva","Bombus griseocollis",NA,1
"286","Lactuca canadensis","Bombus griseocollis",NA,1
"287","Medicago lupulina","Bombus griseocollis",NA,1
"288","Melilotus officinalis","Bombus griseocollis",NA,2
"289","Pastinaca sativa","Bombus griseocollis",NA,2
"290","Physalis virginiana","Bombus griseocollis",NA,3
"291","Rudbeckia hirta","Bombus griseocollis",NA,2
"292","Silene latifolia","Bombus griseocollis",NA,5
"293","Solanum carolinense","Bombus griseocollis",NA,2
"294","Solidago canadensis","Bombus griseocollis",NA,7
"295","Solidago rigida","Bombus griseocollis",NA,2
"296","Taraxacum officinale","Bombus griseocollis",NA,2
"297","Trifolium repens","Bombus griseocollis",NA,3
"298","Verbena stricta","Bombus griseocollis",NA,3
"299","Apocynum cannabinum","Bombus impatiens",NA,1
"300","Asclepias syriaca","Bombus impatiens",NA,9
"301","Baptisia alba","Bombus impatiens",NA,1
"302","Cirsium arvense","Bombus impatiens",NA,1
"303","Convolvulus arvensis","Bombus impatiens",NA,6
"304","Daucus carota","Bombus impatiens",NA,5
"305","Erigeron annuus","Bombus impatiens",NA,3
"306","Galium aparine","Bombus impatiens",NA,2
"307","Helianthus grosseserratus","Bombus impatiens",NA,1
"308","Heliopsis helianthoides","Bombus impatiens",NA,1
"309","Hemerocallis fulva","Bombus impatiens",NA,3
"310","Lonicera japonica","Bombus impatiens",NA,1
"311","Lotus corniculatus","Bombus impatiens",NA,4
"312","Medicago sativa","Bombus impatiens",NA,1
"313","Melilotus officinalis","Bombus impatiens",NA,1
"314","Pastinaca sativa","Bombus impatiens",NA,1
"315","Ratibida pinnata","Bombus impatiens",NA,2
"316","Rubus idaeus","Bombus impatiens",NA,1
"317","Silene latifolia","Bombus impatiens",NA,3
"318","Solanum carolinense","Bombus impatiens",NA,4
"319","Solidago rigida","Bombus impatiens",NA,1
"320","Taraxacum officinale","Bombus impatiens",NA,4
"321","Trifolium pratense","Bombus impatiens",NA,4
"322","Trifolium repens","Bombus impatiens",NA,1
"323","Verbascum thapsus","Bombus impatiens",NA,1
"324","Asclepias syriaca","Bombus pensylvanicus",NA,2
"325","Convolvulus arvensis","Bombus pensylvanicus",NA,2
"326","Solidago canadensis","Bombus pensylvanicus",NA,1
"327","Taraxacum officinale","Bombus pensylvanicus",NA,1
"328","Trifolium repens","Bombus pensylvanicus",NA,1
"329","Verbascum thapsus","Bombus pensylvanicus",NA,1
"330","Asclepias syriaca","Calliopsis andreniformis",NA,1
"331","Ratibida pinnata","Calliopsis andreniformis",NA,1
"332","Taraxacum officinale","Calliopsis andreniformis",NA,1
"333","Trifolium pratense","Calliopsis andreniformis",NA,1
"334","Achillea millefolium","Ceratina dupla",NA,1
"335","Asclepias syriaca","Ceratina dupla",NA,5
"336","Erigeron annuus","Ceratina dupla",NA,2
"337","Galium aparine","Ceratina dupla",NA,1
"338","Melilotus officinalis","Ceratina dupla",NA,1
"339","Ratibida pinnata","Ceratina dupla",NA,1
"340","Thlaspi arvense","Ceratina dupla",NA,2
"341","Abutilon theophrasti","Ceratina sp.",NA,1
"342","Asclepias syriaca","Ceratina sp.",NA,8
"343","Cirsium arvense","Ceratina sp.",NA,1
"344","Convolvulus arvensis","Ceratina sp.",NA,1
"345","Conyza canadensis","Ceratina sp.",NA,1
"346","Dianthus armeria","Ceratina sp.",NA,1
"347","Duchesnea indica","Ceratina sp.",NA,1
"348","Erigeron annuus","Ceratina sp.",NA,1
"349","Galium aparine","Ceratina sp.",NA,3
"350","Medicago sativa","Ceratina sp.",NA,1
"351","Solanum carolinense","Ceratina sp.",NA,1
"352","Thlaspi arvense","Ceratina sp.",NA,2
"353","Trifolium pratense","Ceratina sp.",NA,4
"354","Asclepias syriaca","Colletes latitarsis",NA,1
"355","Asclepias syriaca","Colletes simulans",NA,3
"356","Cirsium vulgare","Colletes simulans",NA,1
"357","Convolvulus arvensis","Colletes simulans",NA,2
"358","Silene latifolia","Colletes simulans",NA,1
"359","Trifolium pratense","Colletes simulans",NA,1
"360","Asclepias syriaca","Dieunomia heteropoda",NA,1
"361","Taraxacum officinale","Dieunomia heteropoda",NA,1
"362","Vernonia fasciculata","Dieunomia heteropoda",NA,1
"363","Asclepias syriaca","Dufourea novaeangliae",NA,1
"364","Ratibida pinnata","Dufourea novaeangliae",NA,1
"365","Asclepias syriaca","Eucera hamata",NA,2
"366","Convolvulus arvensis","Eucera hamata",NA,1
"367","Lotus corniculatus","Eucera hamata",NA,1
"368","Taraxacum officinale","Eucera hamata",NA,1
"369","Asclepias syriaca","Halictus confusus",NA,8
"370","Galium aparine","Halictus confusus",NA,1
"371","Oxalis stricta","Halictus confusus",NA,1
"372","Ratibida pinnata","Halictus confusus",NA,2
"373","Solidago rigida","Halictus confusus",NA,1
"374","Thlaspi arvense","Halictus confusus",NA,2
"375","Trifolium pratense","Halictus confusus",NA,4
"376","Abutilon theophrasti","Halictus ligatus",NA,2
"377","Asclepias syriaca","Halictus ligatus",NA,18
"378","Cirsium arvense","Halictus ligatus",NA,6
"379","Cirsium vulgare","Halictus ligatus",NA,3
"380","Convolvulus arvensis","Halictus ligatus",NA,1
"381","Dianthus armeria","Halictus ligatus",NA,1
"382","Erigeron annuus","Halictus ligatus",NA,5
"383","Eryngium yuccifolium","Halictus ligatus",NA,1
"384","Galium aparine","Halictus ligatus",NA,1
"385","Heliopsis helianthoides","Halictus ligatus",NA,1
"386","Lotus corniculatus","Halictus ligatus",NA,1
"387","Medicago lupulina","Halictus ligatus",NA,1
"388","Melilotus officinalis","Halictus ligatus",NA,2
"389","Monarda fistulosa","Halictus ligatus",NA,1
"390","Pastinaca sativa","Halictus ligatus",NA,1
"391","Physalis virginiana","Halictus ligatus",NA,1
"392","Polygonum pensylvanicum","Halictus ligatus",NA,1
"393","Rubus idaeus","Halictus ligatus",NA,1
"394","Silene latifolia","Halictus ligatus",NA,4
"395","Sinapis arvensis","Halictus ligatus",NA,1
"396","Solanum carolinense","Halictus ligatus",NA,2
"397","Sonchus arvensis","Halictus ligatus",NA,1
"398","Thlaspi arvense","Halictus ligatus",NA,1
"399","Trifolium pratense","Halictus ligatus",NA,7
"400","Trifolium repens","Halictus ligatus",NA,1
"401","Asclepias syriaca","Halictus parallelus",NA,1
"402","Convolvulus arvensis","Halictus parallelus",NA,1
"403","Trifolium pratense","Halictus parallelus",NA,1
"404","Asclepias syriaca","Halictus rubicundus",NA,1
"405","Asclepias syriaca","Holcopasites calliopsidis",NA,1
"406","Asclepias syriaca","Hoplitis pilosifrons",NA,2
"407","Daucus carota","Hoplitis pilosifrons",NA,1
"408","Galium aparine","Hoplitis pilosifrons",NA,1
"409","Heliopsis helianthoides","Hoplitis pilosifrons",NA,1
"410","Lotus corniculatus","Hoplitis pilosifrons",NA,1
"411","Rumex crispus","Hoplitis pilosifrons",NA,1
"412","Taraxacum officinale","Hoplitis pilosifrons",NA,1
"413","Trifolium repens","Hoplitis pilosifrons",NA,1
"414","Asclepias syriaca","Hylaeus affinis",NA,4
"415","Cirsium arvense","Hylaeus affinis",NA,1
"416","Erigeron annuus","Hylaeus affinis",NA,1
"417","Rudbeckia hirta","Hylaeus affinis",NA,2
"418","Taraxacum officinale","Hylaeus affinis",NA,1
"419","Trifolium repens","Hylaeus affinis",NA,2
"420","Asclepias syriaca","Hylaeus mesillae",NA,7
"421","Cirsium arvense","Hylaeus mesillae",NA,1
"422","Daucus carota","Hylaeus mesillae",NA,2
"423","Galium aparine","Hylaeus mesillae",NA,1
"424","Heliopsis helianthoides","Hylaeus mesillae",NA,1
"425","Medicago lupulina","Hylaeus mesillae",NA,1
"426","Ratibida pinnata","Hylaeus mesillae",NA,1
"427","Rubus idaeus","Hylaeus mesillae",NA,1
"428","Rudbeckia hirta","Hylaeus mesillae",NA,2
"429","Sinapis arvensis","Hylaeus mesillae",NA,1
"430","Taraxacum officinale","Hylaeus mesillae",NA,1
"431","Trifolium pratense","Hylaeus mesillae",NA,1
"432","Trifolium repens","Hylaeus mesillae",NA,2
"433","Anemone canadensis","Hylaeus sp.",NA,1
"434","Asclepias syriaca","Hylaeus sp.",NA,8
"435","Cirsium arvense","Hylaeus sp.",NA,1
"436","Erigeron annuus","Hylaeus sp.",NA,3
"437","Medicago lupulina","Hylaeus sp.",NA,2
"438","Rudbeckia hirta","Hylaeus sp.",NA,4
"439","Sinapis arvensis","Hylaeus sp.",NA,2
"440","Taraxacum officinale","Hylaeus sp.",NA,1
"441","Trifolium pratense","Hylaeus sp.",NA,1
"442","Trifolium repens","Hylaeus sp.",NA,2
"443","Achillea millefolium","Lasioglossum (Dialictus) sp.",NA,1
"444","Apocynum cannabinum","Lasioglossum (Dialictus) sp.",NA,1
"445","Asclepias syriaca","Lasioglossum (Dialictus) sp.",NA,23
"446","Asclepias verticillata","Lasioglossum (Dialictus) sp.",NA,1
"447","Carduus nutans","Lasioglossum (Dialictus) sp.",NA,1
"448","Convolvulus arvensis","Lasioglossum (Dialictus) sp.",NA,5
"449","Conyza canadensis","Lasioglossum (Dialictus) sp.",NA,1
"450","Desmodium canadense","Lasioglossum (Dialictus) sp.",NA,1
"451","Echinocystis lobata","Lasioglossum (Dialictus) sp.",NA,1
"452","Eryngium yuccifolium","Lasioglossum (Dialictus) sp.",NA,1
"453","Galium aparine","Lasioglossum (Dialictus) sp.",NA,3
"454","Helianthus grosseserratus","Lasioglossum (Dialictus) sp.",NA,1
"455","Heliopsis helianthoides","Lasioglossum (Dialictus) sp.",NA,1
"456","Hemerocallis fulva","Lasioglossum (Dialictus) sp.",NA,2
"457","Lotus corniculatus","Lasioglossum (Dialictus) sp.",NA,2
"458","Matricaria discoidea","Lasioglossum (Dialictus) sp.",NA,1
"459","Medicago lupulina","Lasioglossum (Dialictus) sp.",NA,1
"460","Medicago sativa","Lasioglossum (Dialictus) sp.",NA,2
"461","Melilotus albus","Lasioglossum (Dialictus) sp.",NA,1
"462","Oxalis stricta","Lasioglossum (Dialictus) sp.",NA,2
"463","Polygonum pensylvanicum","Lasioglossum (Dialictus) sp.",NA,1
"464","Polygonum punctatum","Lasioglossum (Dialictus) sp.",NA,1
"465","Sinapis arvensis","Lasioglossum (Dialictus) sp.",NA,3
"466","Solanum carolinense","Lasioglossum (Dialictus) sp.",NA,1
"467","Trifolium pratense","Lasioglossum (Dialictus) sp.",NA,4
"468","Trifolium repens","Lasioglossum (Dialictus) sp.",NA,3
"469","Verbascum thapsus","Lasioglossum (Dialictus) sp.",NA,1
"470","Asclepias syriaca","Lasioglossum pectorale",NA,2
"471","Cirsium arvense","Lasioglossum pectorale",NA,1
"472","Asclepias syriaca","Megachile brevis",NA,2
"473","Convolvulus arvensis","Megachile brevis",NA,1
"474","Daucus carota","Megachile brevis",NA,1
"475","Lactuca canadensis","Megachile brevis",NA,1
"476","Silene latifolia","Megachile brevis",NA,1
"477","Solidago canadensis","Megachile brevis",NA,1
"478","Asclepias syriaca","Megachile frigida",NA,1
"479","Daucus carota","Megachile frigida",NA,1
"480","Trifolium pratense","Megachile frigida",NA,1
"481","Asclepias syriaca","Megachile inimica",NA,1
"482","Cirsium arvense","Megachile inimica",NA,1
"483","Asclepias syriaca","Megachile latimanus",NA,3
"484","Cirsium arvense","Megachile latimanus",NA,1
"485","Convolvulus arvensis","Megachile latimanus",NA,1
"486","Pastinaca sativa","Megachile latimanus",NA,2
"487","Ratibida pinnata","Megachile latimanus",NA,1
"488","Trifolium pratense","Megachile latimanus",NA,2
"489","Asclepias syriaca","Megachile mendica",NA,1
"490","Asclepias syriaca","Megachile montivaga",NA,2
"491","Daucus carota","Megachile montivaga",NA,1
"492","Eryngium yuccifolium","Megachile montivaga",NA,1
"493","Lotus corniculatus","Megachile montivaga",NA,1
"494","Melilotus officinalis","Megachile montivaga",NA,1
"495","Ratibida pinnata","Megachile montivaga",NA,2
"496","Rudbeckia hirta","Megachile montivaga",NA,1
"497","Taraxacum officinale","Megachile montivaga",NA,1
"498","Trifolium pratense","Megachile montivaga",NA,1
"499","Pastinaca sativa","Megachile relativa",NA,1
"500","Rudbeckia hirta","Megachile relativa",NA,1
"501","Asclepias syriaca","Melissodes agilis",NA,2
"502","Convolvulus arvensis","Melissodes agilis",NA,1
"503","Daucus carota","Melissodes agilis",NA,2
"504","Asclepias syriaca","Melissodes bimaculata",NA,3
"505","Daucus carota","Melissodes bimaculata",NA,1
"506","Galium aparine","Melissodes bimaculata",NA,1
