Number,Date,Year,Site,Trap,Sex,Family,Genus,Species,Binomial,Host,Host2,Host3,Host_Present,Reference,Reference2,,
5554,8/17/2014,2014,NealSmith,NT,F,Apidae,Triepeolus,lunatus,Triepeolus lunatus,Melissodes bimaculata,Melissodes,,Y,"Rightmyer, 2008",,,
5555,8/17/2014,2014,NealSmith,NT,F,Apidae,Triepeolus,donatus,Triepeolus donatus,Melissodes desponsa,Melissodes,,Y,"Rightmyer, 2008",,,
5698,8/30/2014,2014,Greving,NT,F,Apidae,Triepeolus,lunatus,Triepeolus lunatus,Melissodes bimaculata,Melissodes,,Y,"Rightmyer, 2008",,,
6041,5/12/2015,2015,Peckumn,Bowls,F,Apidae,Nomada,articulata,Nomada articulata,Agapostemon virescens,Andrena,,Y,"Snelling, 1986",,,
6073,5/2/2015,2015,Sloan,NT,M,Apidae,Nomada,depressa,Nomada depressa,Andrena,,,N,"Snelling, 1986",,,
6074,5/2/2015,2015,Sloan,NT,M,Apidae,Nomada,denticulata,Nomada denticulata,Andrena,,,N,"Snelling, 1986",,,
6078,5/2/2015,2015,Elkader,NT,M,Apidae,Nomada,denticulata,Nomada denticulata,Andrena,,,Y,"Snelling, 1986",,,
6218,5/27/2015,2015,NealSmith,NT,F,Apidae,Nomada,,Nomada sp.,Andrena,,,Y,"Snelling, 1986",,,
6292,5/27/2015,2015,Elkader,Bowls,F,Halictidae,Sphecodes,,Sphecodes sp.,Halictus,Lasioglossum,,Y,"Habermannova, 2013",,,
6295,5/27/2015,2015,Elkader,NT,F,Halictidae,Sphecodes,,Sphecodes sp.,Halictus,Lasioglossum,,Y,"Habermannova, 2013",,,
6298,5/27/2015,2015,Elkader,NT,F,Apidae,Nomada,depressa,Nomada depressa,Andrena,,,Y,"Snelling, 1986",,,
6299,5/27/2015,2015,Elkader,NT,M,Apidae,Nomada,,Nomada sp.,Andrena,,,Y,"Snelling, 1986",,,
6619,6/1/2015,2015,Peckumn,NT,F,Apidae,Nomada,depressa,Nomada depressa,Andrena,,,N,"Snelling, 1986",,,
6778,6/21/2015,2015,Elkader,Bowls,F,Halictidae,Sphecodes,,Sphecodes sp.,Halictus,Lasioglossum,,Y,"Habermannova, 2013",,,
6791,6/21/2015,2015,Elkader,Bowls,F,Apidae,Nomada,depressa,Nomada depressa,Andrena,,,Y,"Snelling, 1986",,,
6897,6/16/2015,2015,Plunkett,NT,F,Halictidae,Sphecodes,,Sphecodes sp.,Halictus,Lasioglossum,,Y,"Habermannova, 2013",,,
6968,6/29/2015,2015,Cretsinger,NT,F,Apidae,Nomada,,Nomada sp.,Andrena,,,Y,"Snelling, 1986",,,
7199,7/30/2015,2015,Sheller,Bowls,F,Apidae,Triepeolus,,Triepeolus sp.,Melissodes,,,Y,"LeBuhn, 2013",,,
7213,7/30/2015,2015,Sheller,Bowls,F,Apidae,Triepeolus,lunatus,Triepeolus lunatus,Melissodes bimaculata,Melissodes,,Y,"Rightmyer, 2008",,,
8128,5/4/2016,2016,Kaldenberg,NT,M,Apidae,Nomada,depressa,Nomada depressa,Andrena,,,N,"Snelling, 1986",,,
8304,5/18/2016,2016,Plunkett,NT,M,Apidae,Nomada,denticulata,Nomada denticulata,Andrena,,,Y,"Snelling, 1986",,,
8931,5/29/2016,2016,Peckumn,NT,M,Apidae,Nomada,articulata,Nomada articulata,Agapostemon virescens,Andrena,,Y,"Snelling, 1986",,,
8932,5/29/2016,2016,Peckumn,NT,M,Apidae,Nomada,articulata,Nomada articulata,Agapostemon virescens,Andrena,,Y,"Snelling, 1986",,,
8933,5/29/2016,2016,Peckumn,NT,F,Apidae,Nomada,articulata,Nomada articulata,Agapostemon virescens,Andrena,,Y,"Snelling, 1986",,,
8936,5/29/2016,2016,Peckumn,NT,M,Apidae,Nomada,articulata,Nomada articulata,Agapostemon virescens,Andrena,,Y,"Snelling, 1986",,,
8937,5/29/2016,2016,Peckumn,NT,M,Apidae,Nomada,articulata,Nomada articulata,Agapostemon virescens,Andrena,,Y,"Snelling, 1986",,,
8946,5/29/2016,2016,Peckumn,NT,F,Apidae,Nomada,denticulata,Nomada denticulata,Andrena,,,Y,"Snelling, 1986",,,
10447,8/14/2016,2016,Plunkett,NT,M,Halictidae,Sphecodes,,Sphecodes sp.,Halictus,Lasioglossum,,Y,"Habermannova, 2013",,,
10456,8/14/2016,2016,Plunkett,NT,M,Halictidae,Sphecodes,,Sphecodes sp.,Halictus,Lasioglossum,,Y,"Habermannova, 2013",,,
10575,8/16/2016,2016,Kaldenberg,NT,M,Apidae,Triepeolus,lunatus,Triepeolus lunatus,Melissodes bimaculata,Melissodes,,Y,"Rightmyer, 2008",,,
10620,8/17/2016,2016,Sloan,Bowls,F,Apidae,Triepeolus,donatus,Triepeolus donatus,Melissodes desponsa,Melissodes,,Y,"Rightmyer, 2008",,,
10654,8/18/2016,2016,Sheller,NT,M,Apidae,Triepeolus,distinctus,Triepeolus distinctus,Dieunomia heteropoda,Dieunomia triangulifera,,N,"Rightmyer, 2008",,,
10687,8/18/2016,2016,Sheller,Emergence,F,Apidae,Triepeolus,distinctus,Triepeolus distinctus,Dieunomia heteropoda,Dieunomia triangulifera,,N,"Rightmyer, 2008",,,
