Number,Date,Site,Trap,Sex,Family,Genus,Species,Binomial,Notes
8215,5/15/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,texanus,Agapostemon texanus,
8216,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Lasioglossum),fuscipenne,Lasioglossum (Lasioglossum) fuscipenne,
8217,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,forbesii,Lasioglossum s.s. forbesii,
8218,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,forbesii,Lasioglossum s.s. forbesii,
8219,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,forbesii,Lasioglossum s.s. forbesii,
8220,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,acuminatum,Lasioglossum s.s. acuminatum,
8221,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,acuminatum,Lasioglossum s.s. acuminatum,
8222,5/15/2016,Peckumn,Bowls,M,Megachilidae,Hoplitis,pilosifrons,Hoplitis pilosifrons,
8223,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,acuminatum,Lasioglossum s.s. acuminatum,
8224,5/15/2016,Peckumn,Bowls,M,Megachilidae,Hoplitis,pilosifrons,Hoplitis pilosifrons,
8225,5/15/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8226,5/15/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8227,5/15/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8228,5/15/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8229,5/15/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8230,5/15/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8231,5/15/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8232,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8233,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8234,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8235,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8236,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8237,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8238,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8239,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8240,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8241,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8242,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8243,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8244,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8245,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8246,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8247,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8248,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8249,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8250,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8251,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8252,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8253,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8254,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8255,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8256,5/15/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8257,5/15/2016,Peckumn,NT,F,Megachilidae,Hoplitis,pilosifrons,Hoplitis pilosifrons,
8258,5/15/2016,Peckumn,NT,M,Megachilidae,Hoplitis,pilosifrons,Hoplitis pilosifrons,
8259,5/15/2016,Peckumn,NT,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8260,5/15/2016,Peckumn,NT,F,Halictidae,Lasioglossum (Evylaeus),pectorale,Lasioglossum (Evylaeus) pectorale,
8261,5/15/2016,Peckumn,NT,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8262,5/15/2016,Peckumn,NT,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8263,5/15/2016,Peckumn,NT,M,Apidae,Ceratina,calcarata,Ceratina calcarata,
8264,5/15/2016,Peckumn,NT,M,Apidae,Ceratina,calcarata,Ceratina calcarata,
8265,5/15/2016,Peckumn,NT,M,Apidae,Ceratina,calcarata,Ceratina calcarata,
8266,5/15/2016,Peckumn,NT,F,Halictidae,Lasioglossum (Dialictus),,,
8267,5/15/2016,Peckumn,NT,M,Colletidae,Hylaeus,affinis,Hylaeus affinis,
8268,5/15/2016,Peckumn,NT,F,Colletidae,Hylaeus,,Hylaeus spp.,
8269,5/15/2016,Peckumn,NT,M,Colletidae,Hylaeus,mesillae,Hylaeus mesillae,
8270,5/15/2016,Plunkett,Blue vane,F,Andrenidae,Andrena,cresonii cresonii,Andrena cresonii cresonii,
8271,5/18/2016,Plunkett,Blue vane,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8272,5/18/2016,Plunkett,Blue vane,M,Megachilidae,Hoplitis,pilosifrons,Hoplitis pilosifrons,
8273,5/18/2016,Plunkett,Blue vane,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8274,5/18/2016,Plunkett,Blue vane,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8275,5/18/2016,Plunkett,Bowls,F,Apidae,Bombus,pensylvanicus,Bombus pensylvanicus,
8276,5/18/2016,Plunkett,Bowls,M,Apidae,Eucera,hamata,Eucera hamata,
8277,5/18/2016,Plunkett,Bowls,F,Halictidae,Agapostemon,virescens,Agapostmon virescens,
8278,5/18/2016,Plunkett,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8279,5/18/2016,Plunkett,Bowls,M,Andrenidae,Andrena,,,
8280,5/18/2016,Plunkett,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8281,5/18/2016,Plunkett,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8282,5/18/2016,Plunkett,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8283,5/18/2016,Plunkett,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8284,5/18/2016,Plunkett,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8285,5/18/2016,Plunkett,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8286,5/18/2016,Plunkett,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8287,5/18/2016,Plunkett,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8288,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8289,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8290,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8291,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8292,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8293,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8294,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8295,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8296,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8297,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8298,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8299,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8300,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8301,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8302,5/18/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8303,5/18/2016,Plunkett,NT,M,Andrenidae,Andrena,,Andrena spp.,
8304,5/18/2016,Plunkett,NT,M,Apidae,Nomada,denticulata,Nomada denticulata,
8305,5/18/2016,Plunkett,NT,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8306,5/18/2016,Plunkett,NT,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8307,5/18/2016,Plunkett,NT,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8308,5/18/2016,Plunkett,Emergence,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8309,5/18/2016,Bowman,Blue vane,F,Halictidae,Halictus,parallelus,Halictus parallelus,
8310,5/18/2016,Bowman,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8311,5/18/2016,Bowman,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8312,5/18/2016,Bowman,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8313,5/18/2016,Bowman,Bowls,F,Halictidae,Lasioglossum s.s.,forbesii,Lasioglossum s.s. forbesii,
8314,5/18/2016,Bowman,Bowls,F,Halictidae,Lasioglossum s.s.,paraforbesii,Lasioglossum s.s. paraforbesii,
8315,5/18/2016,Bowman,Bowls,F,Halictidae,Lasioglossum s.s.,paraforbesii,Lasioglossum s.s. paraforbesii,
8316,5/18/2016,Bowman,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8317,5/18/2016,Bowman,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8318,5/18/2016,Bowman,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8319,5/18/2016,Bowman,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8320,5/18/2016,Bowman,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8321,5/18/2016,Bowman,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8322,5/18/2016,Bowman,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8323,5/18/2016,Bowman,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8324,5/18/2016,Bowman,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8325,5/18/2016,Bowman,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8326,5/18/2016,Bowman,Blue vane,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8327,5/19/2016,Kaldenberg,Blue vane,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8328,5/19/2016,Kaldenberg,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8329,5/19/2016,Kaldenberg,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8330,5/19/2016,Kaldenberg,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8331,5/19/2016,Kaldenberg,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8332,5/19/2016,Kaldenberg,Blue vane,F,Apidae,Ceratina,,Ceratina spp.,
8333,5/19/2016,Kaldenberg,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8334,5/19/2016,Kaldenberg,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8335,5/19/2016,Kaldenberg,Bowls,F,Halictidae,Halictus,parallelus,Halictus parallelus,
8336,5/19/2016,Kaldenberg,Bowls,F,Halictidae,Halictus,parallelus,Halictus parallelus,
8337,5/19/2016,Kaldenberg,Bowls,F,Halictidae,Halictus,parallelus,Halictus parallelus,
8338,5/19/2016,Kaldenberg,Bowls,F,Andrenidae,Andrena,cressonii cressonii,Andrena cressonii cressonii,
8339,5/19/2016,Kaldenberg,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8340,5/19/2016,Kaldenberg,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8341,5/19/2016,Kaldenberg,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8342,5/19/2016,Kaldenberg,Bowls,F,Apidae,Ceratina,,Ceratina spp.,
8343,5/19/2016,Kaldenberg,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8344,5/19/2016,Kaldenberg,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8345,5/19/2016,Kaldenberg,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8346,5/19/2016,Kaldenberg,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8347,5/19/2016,Kaldenberg,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
