Halictus sp.,,1,Dallas
Holcopasites calliopsidis,3,4,"Dallas, Guthrie, Jasper"
Hoplitis pilosifrons,19,19,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Hylaeus affinis,13,22,"Buchanan, Greene, Guthrie"
Hylaeus mesillae,22,37,"Buchanan, Greene, Grundy, Guthrie, Story"
Hylaeus sp.,39,29,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Lasioglossum (Dialictus) anomalum,1,,Buchanan
Lasioglossum (Dialictus) sp.,1984,1269,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Lasioglossum athabascense,1,,Greene
Lasioglossum cinctipes,6,1,"Greene, Grundy"
Lasioglossum coriaceum,35,39,"Buchanan, Greene, Grundy, Guthrie, Jasper, Story"
Lasioglossum forbesii,3,3,"Dallas, Guthrie, Jasper, Story"
Lasioglossum foxii,,1,Grundy
Lasioglossum fuscipenne,3,,"Greene, Jasper"
Lasioglossum leucozonium,18,5,"Buchanan, Grundy, Story"
Lasioglossum nelumbonis,2,1,"Greene, Grundy, Story"
Lasioglossum paraforbesii,3,4,"Buchanan, Greene, Grundy, Guthrie"
Lasioglossum pectorale,4,13,"Buchanan, Greene, Grundy, Jasper, Story"
Lasioglossum sp.,1,,Buchanan
Lasioglossum zonulum,,2,Grundy
Megachile brevis,12,14,"Buchanan, Dallas, Greene, Jasper, Story"
Megachile frugalis,1,,Guthrie
Megachile inimica,1,2,"Greene, Guthrie, Jasper"
Megachile latimanus,6,6,"Greene, Guthrie, Jasper, Story"
Megachile mendica,1,5,"Greene, Jasper, Story"
Megachile montivaga,3,2,"Greene, Guthrie, Jasper, Story"
Megachile petulans,,1,Greene
Megachile pugnata,,1,Grundy
Megachile relativa,1,5,"Buchanan, Dallas, Greene, Guthrie, Story"
Melissodes agilis,8,3,"Greene, Guthrie, Jasper, Story"
Melissodes bimaculata,90,200,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Melissodes boltoniae,2,3,"Guthrie, Jasper"
Melissodes communis,12,22,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Melissodes comptoides,3,9,"Greene, Grundy, Guthrie, Jasper"
Melissodes coreopsis,3,,"Buchanan, Grundy"
Melissodes denticulatus,1,1,"Greene, Grundy"
Melissodes dentiventris,1,,Story
Melissodes desponsus,4,9,"Buchanan, Dallas, Greene, Guthrie, Jasper, Story"
Melissodes druriellus,3,4,"Buchanan, Greene, Grundy, Guthrie, Story"
Melissodes fumosus,1,,Greene
Melissodes sp.,,1,Grundy
Melissodes subillatus,,1,Guthrie
Melissodes trinodis,42,97,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Nomada articulata,5,13,"Greene, Grundy, Guthrie, Jasper, Story"
Nomada denticulata,,1,Buchanan
Nomada depressa,,3,"Buchanan, Jasper"
Nomada erigeronis,1,,Greene
Nomada graenicheri,,1,Guthrie
Nomada illinoensis,,1,Grundy
Nomada parva,,1,Jasper
Nomada sayi,,1,Buchanan
Nomada vincta,,1,Guthrie
Nomia universitatis,,3,"Jasper, Story"
Osmia cornifrons,1,,Jasper
Osmia illinoensis,,1,Dallas
Osmia inermis,,1,Jasper
Osmia pumila,,2,"Grundy, Jasper"
Peponapis pruinosa,1,1,"Grundy, Guthrie"
Protandrena bancrofti,3,1,"Guthrie, Story"
Pseudopanurgus albitarsis,4,23,"Buchanan, Greene, Guthrie, Jasper"
Sphecodes clematidis,2,5,"Buchanan, Dallas, Guthrie, Jasper, Story"
Sphecodes cressonii,,1,Grundy
Sphecodes illinoensis,,1,Story
Sphecodes sp.,4,1,"Greene, Guthrie, Story"
Stelis lateralis,,3,"Greene, Guthrie"
Svastra obliqua,7,8,"Greene, Grundy, Guthrie, Jasper, Story"
Triepeolus donatus,,2,"Grundy, Guthrie"
Xylocopa micans,2,,Guthrie
Xylocopa virginica,1,1,"Dallas, Story"
